# Region type :  patch inlet
# Faces          : 70
# Area           : 9.8000000000e-03
# Scale factor   : 1.0000000000e+00
# Time           	sum(phi)
1.29293          	-3.8679822033e-02
1.29798          	-3.8677382346e-02
1.30303          	-3.8674943089e-02
1.30808          	-3.8672504005e-02
1.31313          	-3.8670065322e-02
1.31818          	-3.8667626852e-02
1.32323          	-3.8665188732e-02
1.32828          	-3.8662750858e-02
1.33333          	-3.8660313374e-02
1.33838          	-3.8657876154e-02
1.34343          	-3.8655439241e-02
1.34848          	-3.8653002602e-02
1.35354          	-3.8650566295e-02
1.35859          	-3.8648130251e-02
1.36364          	-3.8645693777e-02
1.36869          	-3.8643256529e-02
1.37374          	-3.8640823120e-02
1.37879          	-3.8638387203e-02
1.38384          	-3.8635954113e-02
1.38889          	-3.8633518644e-02
1.39394          	-3.8631085973e-02
1.39899          	-3.8628651130e-02
1.40404          	-3.8626219156e-02
1.40909          	-3.8623785005e-02
1.41414          	-3.8621353517e-02
1.41919          	-3.8618919893e-02
1.42424          	-3.8616489047e-02
1.42929          	-3.8614055864e-02
1.43434          	-3.8611625790e-02
1.43939          	-3.8609193390e-02
1.44444          	-3.8606763834e-02
1.44949          	-3.8604331928e-02
1.45455          	-3.8601902979e-02
1.4596           	-3.8599471624e-02
1.46465          	-3.8597043320e-02
1.4697           	-3.8594612623e-02
1.47475          	-3.8592184960e-02
1.4798           	-3.8589754908e-02
1.48485          	-3.8587327709e-02
1.4899           	-3.8584898289e-02
1.49495          	-3.8582471705e-02
1.5              	-3.8580042728e-02
1.50505          	-3.8577616868e-02
1.5101           	-3.8575188686e-02
1.51515          	-3.8572763328e-02
1.5202           	-3.8570335644e-02
1.52525          	-3.8567910881e-02
1.5303           	-3.8565483580e-02
1.53535          	-3.8563059588e-02
1.5404           	-3.8560632817e-02
1.54545          	-3.8558209567e-02
1.55051          	-3.8555783756e-02
1.55556          	-3.8553360862e-02
1.56061          	-3.8550935265e-02
1.56566          	-3.8548513108e-02
1.57071          	-3.8546088569e-02
1.57576          	-3.8543666806e-02
1.58081          	-3.8541242333e-02
1.58586          	-3.8538821459e-02
1.59091          	-3.8536397917e-02
1.59596          	-3.8533977514e-02
1.60101          	-3.8531554581e-02
1.60606          	-3.8529134642e-02
1.61111          	-3.8526712354e-02
1.61616          	-3.8524293018e-02
1.62121          	-3.8521871385e-02
1.62626          	-3.8519452545e-02
1.63131          	-3.8517031662e-02
1.63636          	-3.8514613316e-02
1.64141          	-3.8512193177e-02
1.64646          	-3.8509775235e-02
1.65152          	-3.8507356149e-02
1.65657          	-3.8504938388e-02
1.66162          	-3.8502519942e-02
1.66667          	-3.8500102597e-02
1.67172          	-3.8497685311e-02
1.67677          	-3.8495268471e-02
1.68182          	-3.8492851301e-02
1.68687          	-3.8490435490e-02
1.69192          	-3.8488018734e-02
1.69697          	-3.8485603661e-02
1.70202          	-3.8483187563e-02
1.70707          	-3.8480773047e-02
1.71212          	-3.8478357441e-02
