# Field minima and maxima
# Time           	min(p)           	max(p)           
0.111204819      	1.0000000000e+05	1.0939954657e+05
0.112204819      	1.0000000000e+05	1.0939954106e+05
0.113204819      	1.0000000000e+05	1.0939954617e+05
0.114204819      	1.0000000000e+05	1.0939954143e+05
0.115204819      	1.0000000000e+05	1.0939954583e+05
0.116204819      	1.0000000000e+05	1.0939954176e+05
0.117204819      	1.0000000000e+05	1.0939954553e+05
0.118204819      	1.0000000000e+05	1.0939954203e+05
0.119204819      	1.0000000000e+05	1.0939954528e+05
0.120204819      	1.0000000000e+05	1.0939954227e+05
0.121204819      	1.0000000000e+05	1.0939954506e+05
0.122204819      	1.0000000000e+05	1.0939954248e+05
0.123204819      	1.0000000000e+05	1.0939954488e+05
0.124204819      	1.0000000000e+05	1.0939954266e+05
0.125204819      	1.0000000000e+05	1.0939954472e+05
0.126204819      	1.0000000000e+05	1.0939954281e+05
0.127204819      	1.0000000000e+05	1.0939954458e+05
0.128204819      	1.0000000000e+05	1.0939954294e+05
0.129204819      	1.0000000000e+05	1.0939954446e+05
0.130204819      	1.0000000000e+05	1.0939954305e+05
0.131204819      	1.0000000000e+05	1.0939954436e+05
0.132204819      	1.0000000000e+05	1.0939954315e+05
0.133204819      	1.0000000000e+05	1.0939954427e+05
0.134204819      	1.0000000000e+05	1.0939954323e+05
0.135204819      	1.0000000000e+05	1.0939954420e+05
0.136204819      	1.0000000000e+05	1.0939954330e+05
0.137204819      	1.0000000000e+05	1.0939954413e+05
0.138204819      	1.0000000000e+05	1.0939954337e+05
0.139204819      	1.0000000000e+05	1.0939954408e+05
0.140204819      	1.0000000000e+05	1.0939954342e+05
0.141204819      	1.0000000000e+05	1.0939954402e+05
0.142204819      	1.0000000000e+05	1.0939954345e+05
0.143204819      	1.0000000000e+05	1.0939954397e+05
0.144204819      	1.0000000000e+05	1.0939954348e+05
0.145204819      	1.0000000000e+05	1.0939954393e+05
0.146204819      	1.0000000000e+05	1.0939954350e+05
0.147204819      	1.0000000000e+05	1.0939954388e+05
0.148204819      	1.0000000000e+05	1.0939954352e+05
0.149204819      	1.0000000000e+05	1.0939954385e+05
0.150204819      	1.0000000000e+05	1.0939954353e+05
