# Field minima and maxima
# Time       	field        	min          	location(min)	processor    	max          	location(max)	processor    
0.87571      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.262891e-01	(-7.333707e-03 -1.100056e-02 5.956500e-01)	3
0.886068     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.155419e-01	(-1.319433e-02 -1.590302e-02 5.956500e-01)	3
0.898727     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.463610e-01	(-1.319433e-02 -1.590302e-02 5.956500e-01)	3
0.913194     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.122770e-01	(-1.319433e-02 -1.590302e-02 5.956500e-01)	3
0.930556     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.375811e-01	(1.168871e-02 -1.388920e-02 5.956500e-01)	3
0.953704     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.361555e-01	(-1.590302e-02 -1.319433e-02 5.956500e-01)	3
0.976852     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	4.526546e-01	(1.590302e-02 1.319433e-02 5.956500e-01)	3
0.988426     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	4.290634e-01	(1.467634e-02 1.788527e-02 5.956500e-01)	3
1            	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.745145e-01	(-2.038159e-02 -2.551624e-02 5.956500e-01)	3
1.01429      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.580329e-01	(-1.100056e-02 1.100056e-02 5.956500e-01)	3
1.03117      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.330757e-01	(1.613555e-02 1.983701e-02 5.956500e-01)	3
1.05227      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.412218e-01	(-1.100056e-02 -1.100056e-02 5.956500e-01)	3
1.07689      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	5.320364e-01	(-1.613555e-02 -1.983701e-02 5.956500e-01)	3
